,Street,City,PO,Country,lon,lat
37,431 Murray St, San Francisco,94110,USA,-122.42030475510204,37.73533148979592
38,3048 Geneva Ave, Daly City,94014,USA,-122.41226306996052,37.70603568979111
39,2498 Vallejo St, San Francisco,94123,USA,-122.438265,37.794908
40,1923 Folsom St, San Francisco,94103,USA,-122.41531759183674,37.766511102040816
41,146 Valley St, San Francisco,94131,USA,-122.42564966666666,37.744646
42,1608 Felton St, San Francisco,94134,USA,-122.42102433107159,37.725987200000006
43,35 Santa Fe Ave, San Francisco,94124,USA,-122.40085615036354,37.73441865
44,330 Harvard St, San Francisco,94134,USA,-122.42040339766092,37.7253779
45,231 Duncan St, San Francisco,94131,USA,-122.42541934693877,37.74610748979592
46,335 Arleta Ave, San Francisco,94134,USA,-122.40971328571429,37.7146137755102
47,924 Naples St, San Francisco,94112,USA,-122.43583525774841,37.715126350000006
48,59 Risel Ave, Daly City,94014,USA,-122.45007123360854,37.70598592494455
49,895 Foerster St, San Francisco,94127,USA,-122.44668705576724,37.73570831337738
50,157 Noe St, San Francisco,94114,USA,-122.43341578260869,37.76644869565217
51,600 Persia Ave, San Francisco,94112,USA,-122.43118561213592,37.7206111
52,661 Twin Peaks Blvd, San Francisco,94114,USA,-122.44863488352169,37.751361558516116
53,15 Boutwell St, San Francisco,94124,USA,-122.40556751118541,37.73772545
54,72 Risel Ave, Daly City,94014,USA,-122.45041237061032,37.706049555644405
55,777 Twin Peaks Blvd, San Francisco,94131,USA,-122.44822498075617,37.750753212426545
56,135 Morse St, San Francisco,94112,USA,-122.4390726221421,37.7129013
57,210 Alemany Blvd, San Francisco,94134,USA,-122.40911019163461,37.736459826456574
58,86A Conkling St, San Francisco,94124,USA,-122.402088,37.73577
59,562 Ellington Ave, San Francisco,94112,USA,-122.44916617858362,37.7105229
60,2760 Vallejo St, San Francisco,94123,USA,-122.4429075726823,37.7943994
61,52 Isis St, San Francisco,94103,USA,-122.41485919102035,37.7700057
62,29 Athens St, San Francisco,94112,USA,-122.42385654545454,37.72758415909091
63,2300 16th St, San Francisco,94103,USA,-122.40947083817584,37.7657494997075
64,650 Harrison St, San Francisco,94107,USA,-122.39648212,37.78338348
65,324 Frankfort St, Daly City,94014,USA,-122.44850006028088,37.70499826074243
66,45 Joost Ave, San Francisco,94131,USA,-122.436082,37.7323
67,94 Addison St, San Francisco,94131,USA,-122.43128171607883,37.73764590995081
68,56 Curtis St, San Francisco,94112,USA,-122.4400882660886,37.713963899999996
69,1600 15th St, San Francisco,94103,USA,-122.42049587196126,37.7669797
70,148 29th St, San Francisco,94110,USA,-122.42350481632653,37.74397430612245
71,61 Valley St, San Francisco,94110,USA,-122.42359742857143,37.744605163265305
72,1619 13th St, San Francisco,94103,USA,-122.4114887,37.7694014
73,531 College Ave, San Francisco,94112,USA,-122.4270388,37.7354516
74,2032 Revere Ave, San Francisco,94124,USA,-122.398167,37.735968
75,1183 Munich St, San Francisco,94112,USA,-122.4379347811397,37.7107955
76,100 Polk St, San Francisco,94102,USA,-122.417966,37.777647
77,303 2nd St, San Francisco,94107,USA,-122.395962,37.7853781
78,510 Bellevue Ave, Daly City,94014,USA,-122.45157950876226,37.70483052528343
79,243 Oriente St, Daly City,94014,USA,-122.4151090102127,37.70406052851261
80,2698 Vallejo St, San Francisco,94123,USA,-122.441583,37.794486
81,120 Cuvier St, San Francisco,94112,USA,-122.4286618,37.732998550000005
82,738 Silver Ave, San Francisco,94134,USA,-122.42071494876156,37.72883612462516
83,417 S Van Ness Ave, San Francisco,94103,USA,-122.41741518560606,37.766479700000005
84,34 Britton St, San Francisco,94134,USA,-122.4124035190458,37.7134255
85,1830 Harrison St, San Francisco,94103,USA,-122.41347859183674,37.768419244897956
86,299 Utah St, San Francisco,94103,USA,-122.406461,37.765971
87,80, San Francisco,94105,USA,-122.46246458317259,37.7392013686784
88,1798 Visitacion Ave, San Francisco,94134,USA,-122.4042733,37.7104236
89,2949 Divisadero St, San Francisco,94123,USA,-122.44228557142857,37.796694979591834
90,45 Cayuga Ave, San Francisco,94112,USA,-122.42956243478261,37.73142926086957
91,33 Gambier St, San Francisco,94134,USA,-122.42229738574059,37.7284155
92,417 Rolph St, San Francisco,94112,USA,-122.43450704355243,37.7128371
93,98 Norfolk St, San Francisco,94103,USA,-122.412938,37.770395
94,270 Potrero Ave, San Francisco,94103,USA,-122.4078256,37.7690336
95,43 Woodward St, San Francisco,94103,USA,-122.42076442857143,37.76918128571429
96,966 Geneva Ave, San Francisco,94112,USA,-122.44017268617185,37.715729100000004
97,114 Rousseau St, San Francisco,94112,USA,-122.43041719954348,37.732901
98,241 Excelsior Ave, San Francisco,94112,USA,-122.43130690725413,37.725297100000006
99,416 Leland Ave, San Francisco,94134,USA,-122.41200114956854,37.7139778
100,131 Milton St, San Francisco,94112,USA,-122.42911441839286,37.73282015
101,56 Mercury St, San Francisco,94124,USA,-122.40166995417641,37.731891193083534
102,1932 Baker St, San Francisco,94115,USA,-122.44379956406189,37.78911395
103,1499 Geneva Ave, San Francisco,94112,USA,-122.4466414,37.7207498
104,2716 Pacific Ave, San Francisco,94115,USA,-122.44005804081633,37.79275675510204
105,98 Erie St, San Francisco,94103,USA,-122.417635,37.769289
106,2300 16th St, San Francisco,94103,USA,-122.40947083817584,37.7657494997075
107,6 Mateo St, San Francisco,94131,USA,-122.43003941666666,37.737286875
108,1433 Silliman St, San Francisco,94134,USA,-122.41941064294588,37.72733275
109,680 Twin Peaks Blvd, San Francisco,94131,USA,-122.44870176700464,37.751198988060125
110,1200 15th St, San Francisco,94103,USA,-122.4129866,37.7671002
111,899 14th St, San Francisco,94114,USA,-122.433245,37.767389
112,36 Maynard St, San Francisco,94112,USA,-122.42981864901606,37.7290945
113,518 Laidley St, San Francisco,94131,USA,-122.43123891836734,37.735904734693875
114,3380 Mission St, San Francisco,94110,USA,-122.3944962,37.7922307
115,140 Charter Oak Ave, San Francisco,94124,USA,-122.40468326530612,37.73471212244898
116,720 Morse St, San Francisco,94112,USA,-122.44664714359091,37.711084549999995
117,2150 Alemany Blvd, San Francisco,94112,USA,-122.4421179998092,37.7183012
118,631 Hanover St, Daly City,94014,USA,-122.44986335241663,37.706780280041876
119,1690 Folsom St, San Francisco,94103,USA,-122.4161026898608,37.7700188
120,502 Naples St, San Francisco,94112,USA,-122.43139481632653,37.72076551020408
121,166 Oxford St, San Francisco,94134,USA,-122.42015865306122,37.72777220408163
122,835 Twin Peaks Blvd, San Francisco,94131,USA,-122.4470830338639,37.75009533034836
123,45 Sanchez St, San Francisco,94114,USA,-122.43117779591837,37.768539510204086
124,1131 Geneva Ave, San Francisco,94112,USA,-122.43742369230769,37.71462532692308
125,2166 Market St, San Francisco,94114,USA,-122.43014977140578,37.76628426626438
126,326 Hampshire St, San Francisco,94110,USA,-122.40859332558139,37.765140732558145
127,114 Crescent Ave, San Francisco,94110,USA,-122.42180193333334,37.735054733333335
128,925 Chenery St, San Francisco,94131,USA,-122.43765235660697,37.73518426533057
129,318 Excelsior Ave, San Francisco,94112,USA,-122.43093200571047,37.72475615
130,299 Melrose Ave, San Francisco,94127,USA,-122.448722,37.733728
131,41 Britton St, San Francisco,94134,USA,-122.41207851444591,37.71324225
132,233 Pope St, San Francisco,94112,USA,-122.44025418170688,37.71229405
133,160 Bemis St, San Francisco,94131,USA,-122.430802425,37.73708015
134,200 Cordova St, San Francisco,94112,USA,-122.4357344149846,37.71142825
135,81 Tiffany Ave, San Francisco,94110,USA,-122.42093317171718,37.74541813131313
136,45 Wilder St, San Francisco,94131,USA,-122.4332447190595,37.73393375
137,3099 Washington St, San Francisco,94115,USA,-122.44413,37.790266
138,50 Tiffany Ave, San Francisco,94110,USA,-122.42106443432101,37.745897400000004
139,13th St, San Francisco,94103,USA,-122.4114887,37.7694014
140,574 Campbell Ave, San Francisco,94134,USA,-122.4077212003402,37.71584285
141,5601 Mission St, San Francisco,94112,USA,-122.4464219,37.7112751
142,474 Naples St, San Francisco,94112,USA,-122.43120889558986,37.721302
143,1574 Howard St, San Francisco,94103,USA,-122.41683709921395,37.7722827
144,717 Delta St, San Francisco,94134,USA,-122.40967120904028,37.711561599999996
145,1695 Mission St, San Francisco,94103,USA,-122.4190896708673,37.7704188
146,2399 Greenwich St, San Francisco,94123,USA,-122.438986,37.798471
147,1532 Silliman St, San Francisco,94134,USA,-122.42052305063224,37.72741535
148,281 Oriente St, Daly City,94014,USA,-122.41536997353867,37.70347308102562
149,360 Laidley St, San Francisco,94131,USA,-122.429072,37.737319408163266
150,2544 Vallejo St, San Francisco,94123,USA,-122.4392415688362,37.7948783
151,517 Laidley St, San Francisco,94131,USA,-122.43107881632653,37.73579665306123
152,390 Melrose Ave, San Francisco,94127,USA,-122.451325,37.733884
153,3002 Pierce St, San Francisco,94115,USA,-122.43875585367982,37.7977654
154,455 Golden Gate Ave, San Francisco,94102,USA,-122.41790920397379,37.7810445
155,69 Madison St, San Francisco,94134,USA,-122.42325278726753,37.7279551
156,1060 Brannan St, San Francisco,94103,USA,-122.40740808163265,37.76984344897959
157,564 Duboce Ave, San Francisco,94117,USA,-122.43282685416666,37.769143916666664
158,1818 Silver Ave, San Francisco,94124,USA,-122.40241318091195,37.734101499999994
159,446 Moscow St, San Francisco,94112,USA,-122.42828385714286,37.72056783673469
160,875 Schwerin St, Daly City,94014,USA,-122.41456882337815,37.703103999963126
161,826 14th St, San Francisco,94114,USA,-122.43178625,37.76764145833334
162,2055 Folsom St, San Francisco,94110,USA,-122.3921274,37.7891909
163,301 Amazon Ave, San Francisco,94112,USA,-122.43762297772811,37.7163547
164,138 Edinburgh St, San Francisco,94112,USA,-122.42795392473317,37.7268906
165,2112 15th St, San Francisco,94114,USA,-122.4314646,37.7661188
166,188 Elliot St, San Francisco,94134,USA,-122.41105481632653,37.715245714285714
167,2975 Jackson St, San Francisco,94115,USA,-122.44391243569916,37.79105365
168,1606 Guerrero St, San Francisco,94110,USA,-122.42244317808219,37.74603883561644
169,38 Walter St, San Francisco,94114,USA,-122.43250275,37.7685675
170,310 Alemany Blvd, San Francisco,94110,USA,-122.41146348197626,37.73456062398739
171,149 Paris St, San Francisco,94112,USA,-122.43124890105783,37.72619435
172,198 Church St, San Francisco,94114,USA,-122.4291843,37.7678473
173,98 Norfolk St, San Francisco,94103,USA,-122.412938,37.770395
174,260 Acton St, Daly City,94014,USA,-122.4510472708352,37.70558635704365
175,1656 15th St, San Francisco,94103,USA,-122.42122,37.766672
176,115 Tiffany Ave, San Francisco,94110,USA,-122.42118696969698,37.74502421212121
177,807 Bosworth St, San Francisco,94131,USA,-122.43606057142857,37.73379336734694
178,366 Chenery St, San Francisco,94131,USA,-122.428586,37.73674844897959
179,661 Twin Peaks Blvd, San Francisco,94114,USA,-122.44863488352169,37.751361558516116
180,430 Leland Ave, San Francisco,94134,USA,-122.41230706868964,37.71400815
181,42 Sanchez St, San Francisco,94114,USA,-122.43138941666668,37.76857533333333
182,1 Naylor St, San Francisco,94112,USA,-122.43390551081816,37.711408500000005
183,598 14th St, San Francisco,94103,USA,-122.42644,37.767966
184,934 Edinburgh St, San Francisco,94112,USA,-122.43677693379527,37.7153291
185,1643 Quint St, San Francisco,94124,USA,-122.39736569974487,37.73592735
186,699 Bayshore Blvd, San Francisco,94124,USA,-122.406563,37.736406
187,2154 16th St, San Francisco,94103,USA,-122.40817594748918,37.765827431202396
188,30 Bernice St, San Francisco,94103,USA,-122.41418315271757,37.7698849
189,290 Richland Ave, San Francisco,94110,USA,-122.4205436122449,37.73571402040817
190,5620 Mission St, San Francisco,94112,USA,-122.44705240532045,37.711400850000004
191,1606 Guerrero St, San Francisco,94110,USA,-122.42244317808219,37.74603883561644
192,376 Madison St, San Francisco,94134,USA,-122.42217028889729,37.7244552
193,876 Bayshore Blvd, San Francisco,94124,USA,-122.40422847141427,37.73234127169269
194,2545 Vallejo St, San Francisco,94123,USA,-122.4394853896066,37.79447315
195,820 Geneva Ave, San Francisco,94112,USA,-122.44212568508209,37.7173534
196,709 Twin Peaks Blvd, San Francisco,94131,USA,-122.44725224137046,37.75116654473998
197,499 Van Ness Ave, San Francisco,94102,USA,-122.420433,37.779936
198,750 Persia Ave, San Francisco,94112,USA,-122.43018413007351,37.720161149999996
199,1545 San Jose Avenue, San Francisco,94112,USA,-122.4449239,37.7227738
200,45 Conkling St, San Francisco,94124,USA,-122.401915811304,37.73578320460068
201,238 Madrid St, San Francisco,94112,USA,-122.42995614745931,37.725744399999996
202,92 Conkling St, San Francisco,94124,USA,-122.40203544883016,37.73489135
203,975 Athens St, San Francisco,94112,USA,-122.43398455147037,37.71382075
204,24 Addison St, San Francisco,94131,USA,-122.43005661464169,37.73790028574399
205,1545 San Jose Avenue, San Francisco,94112,USA,-122.4449239,37.7227738
206,125 Excelsior Ave, San Francisco,94112,USA,-122.43253873469388,37.72581530612245
207,2 Everson St, San Francisco,94131,USA,-122.429802,37.738626
208,158 Boutwell St, San Francisco,94124,USA,-122.40578575683601,37.735143449999995
209,2273 16th St, San Francisco,94103,USA,-122.40920650622607,37.76560049962393
210,69 Bemis St, San Francisco,94131,USA,-122.429646,37.737619714285714
211,855 Geneva Ave, San Francisco,94112,USA,-122.441398,37.717259
212,121 Tiffany Ave, San Francisco,94110,USA,-122.42123175757575,37.74495469696969
213,194 Park St, San Francisco,94110,USA,-122.42119766279575,37.736298
214,3200 Washington St, San Francisco,94115,USA,-122.446104,37.790181
215,124 Leese St, San Francisco,94110,USA,-122.42309489795919,37.73565781632653
216,1750 Harrison St, San Francisco,94103,USA,-122.41421292616374,37.76897925
217,158 27th St, San Francisco,94110,USA,-122.42371918367347,37.74717412244898
218,625 Bayshore Blvd, San Francisco,94124,USA,-122.406151756449,37.737046199999995
219,20 Curtis St, San Francisco,94112,USA,-122.44039524386793,37.7147529
220,94 Joost Ave, San Francisco,94131,USA,-122.43722004761905,37.73246038095238
221,3161 Sacramento St, San Francisco,94115,USA,-122.44489902040817,37.78836714285714
222,2273 16th St, San Francisco,94103,USA,-122.40920650622607,37.76560049962393
223,34 Bannock St, San Francisco,94112,USA,-122.44246081034483,37.718834400000006
224,2350 Green St, San Francisco,94115,USA,-122.43780061224489,37.7959247755102
225,307 Ottilia St, Daly City,94014,USA,-122.4159299610702,37.70506433688009
226,50 Fell St, San Francisco,94102,USA,-122.41881801140238,37.77666725
227,981 Athens St, San Francisco,94112,USA,-122.43400646963896,37.7137505
228,125 Hayes St, San Francisco,94102,USA,-122.41918611538462,37.77744838461538
229,50 Everson St, San Francisco,94131,USA,-122.43033191394795,37.73857950013746
230,1225 Naples St, San Francisco,94112,USA,-122.43798750272254,37.7113454
231,730 Silver Ave, San Francisco,94134,USA,-122.42097999315885,37.72877080000001
232,1469 Harrison St, San Francisco,94103,USA,-122.4120452,37.7708576
233,649 San Jose Avenue, San Francisco,94110,USA,-122.42216734482759,37.744883517241384
234,224 Murray St, San Francisco,94112,USA,-122.42321763116428,37.73355778178347
235,145 Hampshire St, San Francisco,94103,USA,-122.40856427795403,37.76739819487738
236,3 Maddux Ave, San Francisco,94124,USA,-122.39804048986929,37.7351011
237,551 Athens St, San Francisco,94112,USA,-122.43004369719932,37.7192007
238,685 Twin Peaks Blvd, San Francisco,94131,USA,-122.44872099839223,37.751156769154534
239,2160 Market St, San Francisco,94114,USA,-122.43003699174322,37.76636785823258
240,St. Luke's Hospital Garage, San Francisco,94110,USA,,37.7790262
241,1798 Visitacion Ave, San Francisco,94134,USA,-122.4042733,37.7104236
242,22 Cuvier St, San Francisco,94112,USA,-122.42886152341877,37.73412955
243,155 Oriente St, Daly City,94014,USA,-122.41440991882719,37.70563513671657
244,3048 Geneva Ave, Daly City,94014,USA,-122.41226306996052,37.70603568979111
245,212 29th St, San Francisco,94131,USA,-122.4250933,37.7438969
246,98 Lisbon St, San Francisco,94112,USA,-122.430089,37.726811
247,137 27th St, San Francisco,94110,USA,-122.42328473469388,37.74703548979591
248,1174 Bryant St, San Francisco,94103,USA,-122.4097168384058,37.770694
249,598 Bosworth St, San Francisco,94131,USA,-122.433958,37.733655
250,115 Mateo St, San Francisco,94131,USA,-122.42929585714285,37.73682657142857
251,1600 15th St, San Francisco,94103,USA,-122.42049587196126,37.7669797
252,2901 16th St, San Francisco,94103,USA,-122.417634,37.765092
253,1399 15th St, San Francisco,94103,USA,-122.415299,37.766864
254,134 Scotia Ave, San Francisco,94124,USA,-122.40054980343575,37.732591850000006
255,737 Rolph St, San Francisco,94112,USA,-122.4313057332389,37.71191870598295
256,2107 Lyon St, San Francisco,94115,USA,-122.44622985080252,37.79041565
257,1399 15th St, San Francisco,94103,USA,-122.415299,37.766864
258,531 Duboce Ave, San Francisco,94117,USA,-122.432082,37.769191875
259,135 Kissling St, San Francisco,94103,USA,-122.41517989961974,37.7718785
260,2505 Green St, San Francisco,94123,USA,-122.44074279806861,37.7952169
261,2101 Thomas Ave, San Francisco,94124,USA,-122.4007333,37.7355937
262,2 Pearl St, San Francisco,94103,USA,-122.424065,37.77124
263,1200 15th St, San Francisco,94103,USA,-122.4129866,37.7671002
264,1390 Market St, San Francisco,94102,USA,-122.41764079926787,37.7769667
265,3222 Washington St, San Francisco,94115,USA,-122.44634846938776,37.79014979591837
266,345 Gambier St, San Francisco,94134,USA,-122.42088877260726,37.7250865
267,151 Lippard Ave, San Francisco,94131,USA,-122.43597282615463,37.73309048376526
268,899 Geneva Ave, San Francisco,94112,USA,-122.4466414,37.7207498
269,189 13th St, San Francisco,94103,USA,-122.4114887,37.7694014
270,98 Erie St, San Francisco,94103,USA,-122.417635,37.769289
271,1580 Valencia St, San Francisco,94110,USA,-122.42029195652174,37.747179
272,27 Albion St, San Francisco,94103,USA,-122.42312679591836,37.765983938775506
273,220 Surrey St, San Francisco,94131,USA,-122.43552517647059,37.735853235294115
274,4271 Mission St, San Francisco,94112,USA,-122.43067392077072,37.7290723
275,1621 Howard St, San Francisco,94103,USA,-122.4169920816762,37.771359960961824
276,2635 Scott St, San Francisco,94123,USA,-122.44005570796777,37.79413125028112
277,545 Delta St, San Francisco,94134,USA,-122.40927432500001,37.71319915
278,124 Oriente St, Daly City,94014,USA,-122.4143964042777,37.706162319999954
279,722 Sweeny St, San Francisco,94134,USA,-122.41769978175626,37.73043855
280,869 Schwerin St, Daly City,94014,USA,-122.41454052166263,37.703167883578246
281,124 Edinburgh St, San Francisco,94112,USA,-122.42789644666668,37.727037100000004
282,421 Alemany Blvd, San Francisco,94112,USA,-122.41448353598112,37.73304903902642
283,1835 Folsom St, San Francisco,94103,USA,-122.41545424489796,37.76795024489796
284,708 Acton St, Daly City,94014,USA,-122.44949129534204,37.70391230458076
285,399 14th St, San Francisco,94103,USA,-122.422036,37.768067
286,318 Madrid St, San Francisco,94112,USA,-122.43087795178141,37.7244747
287,2044 Alemany Blvd, San Francisco,94112,USA,-122.4405567086404,37.71949735
288,15 Britton St, San Francisco,94134,USA,-122.4119603052744,37.7135362
289,384 Gambier St, San Francisco,94134,USA,-122.42106485714285,37.72468371428571
290,153 London St, San Francisco,94112,USA,-122.43225146938775,37.72651087755102
291,44 Potrero Ave, San Francisco,94103,USA,-122.40793118750001,37.768570312499996
292,1665 Folsom St, San Francisco,94103,USA,-122.4151598708416,37.7700737
293,258 Harvard St, San Francisco,94134,USA,-122.42072490673112,37.72623935
294,850 Lisbon St, San Francisco,94112,USA,-122.43855944302581,37.7157998
295,400 Treat Ave, San Francisco,94110,USA,-122.413722,37.763719
296,501 Twin Peaks Blvd, San Francisco,94131,USA,-122.44774632403552,37.75241330352793
297,170 S Van Ness Ave, San Francisco,94103,USA,-122.41802831711493,37.770466400000004
298,1940 Harrison St, San Francisco,94103,USA,-122.4103524,37.772325
299,1144 Munich St, San Francisco,94112,USA,-122.43670364088773,37.71094625
300,2425 Alameda St, San Francisco,94103,USA,-122.40905018367347,37.76819720408163
301,319 Silver Ave, San Francisco,94112,USA,-122.43063180529113,37.72868673424771
302,123 Edinburgh St, San Francisco,94112,USA,-122.42741996255782,37.726975749999994
303,166 Madrid St, San Francisco,94112,USA,-122.4291165339369,37.72690025
304,981 Athens St, San Francisco,94112,USA,-122.43400646963896,37.7137505
305,1272 Market St, San Francisco,94102,USA,-122.41607365268072,37.778116749999995
306,126 London St, San Francisco,94112,USA,-122.43224161131675,37.72706655
307,222 Seneca Ave, San Francisco,94112,USA,-122.44265883393298,37.72027290933679
308,242 Lowell St, San Francisco,94112,USA,-122.445362,37.709341
309,781 Prague St, San Francisco,94112,USA,-122.43320962132387,37.71086655
310,1581 Dolores St, San Francisco,94110,USA,-122.42424525,37.744178625
311,300 Leland Ave, San Francisco,94134,USA,-122.409603,37.713244
312,28 Sanchez St, San Francisco,94114,USA,-122.43141027083334,37.76879116666667
313,St. Luke's Hospital Garage, San Francisco,94110,USA,,37.7790262
314,2600 Union St, San Francisco,94123,USA,-122.44238638609227,37.7964776
315,440 Hanover St, San Francisco,94112,USA,-122.44592765373372,37.7083961
316,599 Bosworth St, San Francisco,94131,USA,-122.4409917,37.7355346
317,2345 Filbert St, San Francisco,94123,USA,-122.4379501211638,37.79746865
318,598 Persia Ave, San Francisco,94112,USA,-122.431392,37.720849
319,6 Madison St, San Francisco,94134,USA,-122.42385265556807,37.7286349
320,11 Roanoke St, San Francisco,94131,USA,-122.43113336734693,37.73654140816326
321,524 Moscow St, San Francisco,94112,USA,-122.42937601193725,37.719429950000006
322,501 Twin Peaks Blvd, San Francisco,94131,USA,-122.44774632403552,37.75241330352793
323,891 Foerster St, San Francisco,94127,USA,-122.44681033614825,37.735744083327795
324,3201 Clay St, San Francisco,94115,USA,-122.4459469,37.7890891
325,166 Lisbon St, San Francisco,94112,USA,-122.43107419696744,37.725722149999996
326,2017 Lyon St, San Francisco,94115,USA,-122.4461065905,37.7895328
327,188 Elliot St, San Francisco,94134,USA,-122.41105481632653,37.715245714285714
328,2098 Folsom St, San Francisco,94110,USA,-122.3921274,37.7891909
329,1773 Folsom St, San Francisco,94103,USA,-122.41550966666667,37.76885266666667
330,5098 Mission St, San Francisco,94112,USA,-122.440998,37.7169401
331,1331 Harrison St, San Francisco,94103,USA,-122.4105181,37.7720286
332,3021 Washington St, San Francisco,94115,USA,-122.44306426530612,37.79040289795918
333,555 Vienna St, San Francisco,94112,USA,-122.4308783226914,37.719512249999994
334,535 Mangels Ave, San Francisco,94127,USA,-122.44971389795919,37.73298253061224
335,136 Duncan St, San Francisco,94110,USA,-122.42322053061224,37.7464052244898
336,343 Raymond Ave, San Francisco,94134,USA,-122.41019538367004,37.71391215
337,421 Avalon Ave, San Francisco,94112,USA,-122.42882225130467,37.72624635
338,2300 16th St, San Francisco,94103,USA,-122.40947083817584,37.7657494997075
339,1975 Market St, San Francisco,94103,USA,-122.42620686563214,37.7692677
340,140 Potrero Ave, San Francisco,94103,USA,-122.40786195918368,37.76780522448979
341,31 27th St, San Francisco,94110,USA,-122.421733,37.747128979591835
342,730 Geneva Ave, San Francisco,94112,USA,-122.44320379999999,37.7183722
343,1062 Geneva Ave, San Francisco,94112,USA,-122.438625590058,37.71504145
344,1230 Visitacion Ave, San Francisco,94134,USA,-122.41108035317055,37.712458999999996
345,2039 Silver Ave, San Francisco,94124,USA,-122.39988662020318,37.73597005
346,180 Bemis St, San Francisco,94131,USA,-122.43106167500001,37.736911649999996
347,751 Lisbon St, San Francisco,94112,USA,-122.43739827265478,37.71668585
348,299 Murray St, San Francisco,94112,USA,-122.422564,37.733857
349,52 Day St, San Francisco,94110,USA,-122.42366641666666,37.743157875
350,2041 Lyon St, San Francisco,94115,USA,-122.4462277555046,37.789793599999996
351,428 Lowell St, San Francisco,94112,USA,-122.4462219,37.7111387
352,55 Erie St, San Francisco,94103,USA,-122.41678027689953,37.76916843736019
353,827 Vienna St, San Francisco,94112,USA,-122.4340372223383,37.715322150000006
354,2166 Market St, San Francisco,94114,USA,-122.43014977140578,37.76628426626438
355,2661 Green St, San Francisco,94123,USA,-122.44290022436194,37.7950005
356,48 Cayuga Ave, San Francisco,94112,USA,-122.42939722726064,37.731750500000004
357,583 Duboce Ave, San Francisco,94117,USA,-122.43314233333334,37.76912333333333
358,2201 Alemany Blvd, San Francisco,94112,USA,-122.4426114,37.7178113
359,3150 California St, San Francisco,94115,USA,-122.4463465,37.7875875
360,302 Acton St, Daly City,94014,USA,-122.45072295918366,37.705014224489794
361,1576 Geneva Ave, San Francisco,94112,USA,-122.43031510048088,37.712305476959266
362,2460 Green St, San Francisco,94115,USA,-122.43957895918366,37.79569953061225
363,303 Ottilia St, Daly City,94014,USA,-122.41590732675081,37.705058089113855
364,1800 Folsom St, San Francisco,94103,USA,-122.41612132915981,37.767617200000004
365,240 Shotwell St, San Francisco,94110,USA,-122.4165538523796,37.76459825
366,99 Shotwell St, San Francisco,94103,USA,-122.416458,37.767
367,3108 Jackson St, San Francisco,94115,USA,-122.44646616107036,37.79120225
